"country","totalCO2emission","pop2022"
"CHINA","2806634","1448471.4000"
"UNITED STATES","1432855","334805.2690"
"INDIA","610411","1406631.7760"
"RUSSIA","465052","145805.9470"
"JAPAN","331074","125584.8380"
"GERMANY","196314","83883.5960"
"IRAN","177115","86022.8370"
"SAUDI ARABIA","163907","35844.9090"
"SOUTH KOREA","160119","51329.8990"
"CANADA","146494","38388.4190"
"BRAZIL","144480","215353.5930"
"SOUTH AFRICA","133562","60756.1350"
"MEXICO","130971","131562.7720"
"INDONESIA","126582","279134.5050"
"UNITED KINGDOM","114486","68497.9070"
"AUSTRALIA","98517","26068.7920"
"TURKEY","94350","85561.9760"
"ITALY","87377","60262.7700"
"THAILAND","86232","70078.2030"
"FRANCE","82704","65584.5180"
"POLAND","77922","37739.7850"
"TAIWAN","72013","23888.5950"
"KAZAKHSTAN","67716","19205.0430"
"MALAYSIA","66218","33181.0720"
"SPAIN","63806","46719.1420"
"UKRAINE","61985","43192.1220"
"UNITED ARAB EMIRATES","57641","10081.7850"
"ARGENTINA","55638","46010.2340"
"EGYPT","55057","106156.6920"
"VENEZUELA","50510","29266.9910"
"IRAQ","45935","42164.9650"
"NETHERLANDS","45624","17211.4470"
"VIETNAM","45517","98953.5410"
"PAKISTAN","45350","229488.9940"
"ALGERIA","39651","45350.1480"
"QATAR","29412","2979.9150"
"PHILIPPINES","28812","112508.9940"
"UZBEKISTAN","28692","34382.0840"
"CZECH REPUBLIC","26309","10736.7840"
"NIGERIA","26256","216746.9340"
"KUWAIT","26018","4380.3260"
"BELGIUM","25457","11668.2780"
"COLOMBIA","22932","51512.7620"
"CHILE","22515","19250.1950"
"BANGLADESH","19959","167885.6890"
"ROMANIA","19090","19031.3350"
"TURKMENISTAN","18659","6201.9430"
"GREECE","18358","10316.6370"
"ISRAEL","17617","8922.8920"
"BELARUS","17316","9432.8000"
"PERU","16838","33684.2080"
"OMAN","16681","5323.9930"
"MOROCCO","16325","37772.7560"
"AUSTRIA","16011","9066.7100"
"LIBYA","15543","7040.7450"
"SINGAPORE","15373","5943.5460"
"NORWAY","12988","5511.3700"
"FINLAND","12899","5554.9600"
"TRINIDAD AND TOBAGO","12619","1406.5850"
"HONG KONG","12605","7604.2990"
"PORTUGAL","12286","10140.5700"
"ECUADOR","11977","18113.3610"
"SWEDEN","11841","10218.9710"
"BULGARIA","11567","6844.5970"
"HUNGARY","11477","9606.2590"
"NORTH KOREA","11052","25990.6790"
"SERBIA","10272","8653.0160"
"AZERBAIJAN","10223","10300.2050"
"SWITZERLAND","9628","8773.6370"
"CUBA","9500","11305.6520"
